Symbol,Security,Index,Exchange
MMM,3M,S&P 500,NYSE
AOS,A. O. Smith,S&P 500,NYSE
ABT,Abbott Laboratories,S&P 500,NYSE
ABBV,AbbVie,S&P 500,NYSE
ACN,Accenture,S&P 500,NYSE
ADBE,Adobe Inc.,S&P 500,NYSE
AMD,Advanced Micro Devices,S&P 500,NYSE
AES,AES Corporation,S&P 500,NYSE
AFL,Aflac,S&P 500,NYSE
A,Agilent Technologies,S&P 500,NYSE
APD,Air Products,S&P 500,NYSE
ABNB,Airbnb,S&P 500,NYSE
AKAM,Akamai Technologies,S&P 500,NYSE
ALB,Albemarle Corporation,S&P 500,NYSE
ARE,Alexandria Real Estate Equities,S&P 500,NYSE
ALGN,Align Technology,S&P 500,NYSE
ALLE,Allegion,S&P 500,NYSE
LNT,Alliant Energy,S&P 500,NYSE
ALL,Allstate,S&P 500,NYSE
GOOGL,Alphabet Inc. (Class A),S&P 500,NYSE
GOOG,Alphabet Inc. (Class C),S&P 500,NYSE
MO,Altria,S&P 500,NYSE
AMZN,Amazon,S&P 500,NYSE
AMCR,Amcor,S&P 500,NYSE
AEE,Ameren,S&P 500,NYSE
AEP,American Electric Power,S&P 500,NYSE
AXP,American Express,S&P 500,NYSE
AIG,American International Group,S&P 500,NYSE
AMT,American Tower,S&P 500,NYSE
AWK,American Water Works,S&P 500,NYSE
AMP,Ameriprise Financial,S&P 500,NYSE
AME,Ametek,S&P 500,NYSE
AMGN,Amgen,S&P 500,NYSE
APH,Amphenol,S&P 500,NYSE
ADI,Analog Devices,S&P 500,NYSE
AON,Aon plc,S&P 500,NYSE
APA,APA Corporation,S&P 500,NYSE
APO,Apollo Global Management,S&P 500,NYSE
AAPL,Apple Inc.,S&P 500,NYSE
AMAT,Applied Materials,S&P 500,NYSE
APP,AppLovin,S&P 500,NYSE
APTV,Aptiv,S&P 500,NYSE
ACGL,Arch Capital Group,S&P 500,NYSE
ADM,Archer Daniels Midland,S&P 500,NYSE
ARES,Ares Management,S&P 500,NYSE
ANET,Arista Networks,S&P 500,NYSE
AJG,Arthur J. Gallagher & Co.,S&P 500,NYSE
AIZ,Assurant,S&P 500,NYSE
T,AT&T,S&P 500,NYSE
ATO,Atmos Energy,S&P 500,NYSE
ADSK,Autodesk,S&P 500,NYSE
ADP,Automatic Data Processing,S&P 500,NYSE
AZO,AutoZone,S&P 500,NYSE
AVB,AvalonBay Communities,S&P 500,NYSE
AVY,Avery Dennison,S&P 500,NYSE
AXON,Axon Enterprise,S&P 500,NYSE
BKR,Baker Hughes,S&P 500,NYSE
BALL,Ball Corporation,S&P 500,NYSE
BAC,Bank of America,S&P 500,NYSE
BAX,Baxter International,S&P 500,NYSE
BDX,Becton Dickinson,S&P 500,NYSE
BRK.B,Berkshire Hathaway,S&P 500,NYSE
BBY,Best Buy,S&P 500,NYSE
TECH,Bio-Techne,S&P 500,NYSE
BIIB,Biogen,S&P 500,NYSE
BLK,BlackRock,S&P 500,NYSE
BX,Blackstone Inc.,S&P 500,NYSE
XYZ,"Block, Inc.",S&P 500,NYSE
BK,BNY Mellon,S&P 500,NYSE
BA,Boeing,S&P 500,NYSE
BKNG,Booking Holdings,S&P 500,NYSE
BSX,Boston Scientific,S&P 500,NYSE
BMY,Bristol Myers Squibb,S&P 500,NYSE
AVGO,Broadcom,S&P 500,NYSE
BR,Broadridge Financial Solutions,S&P 500,NYSE
BRO,Brown & Brown,S&P 500,NYSE
BF.B,Brown–Forman,S&P 500,NYSE
BLDR,Builders FirstSource,S&P 500,NYSE
BG,Bunge Global,S&P 500,NYSE
BXP,"BXP, Inc.",S&P 500,NYSE
CHRW,C.H. Robinson,S&P 500,NYSE
CDNS,Cadence Design Systems,S&P 500,NYSE
CPT,Camden Property Trust,S&P 500,NYSE
CPB,Campbell's Company (The),S&P 500,NYSE
COF,Capital One,S&P 500,NYSE
CAH,Cardinal Health,S&P 500,NYSE
CCL,Carnival Corporation,S&P 500,NYSE
CARR,Carrier Global,S&P 500,NYSE
CVNA,Carvana,S&P 500,NYSE
CASY,Casey's,S&P 500,NYSE
CAT,Caterpillar Inc.,S&P 500,NYSE
CBOE,Cboe Global Markets,S&P 500,NYSE
CBRE,CBRE Group,S&P 500,NYSE
CDW,CDW Corporation,S&P 500,NYSE
COR,Cencora,S&P 500,NYSE
CNC,Centene Corporation,S&P 500,NYSE
CNP,CenterPoint Energy,S&P 500,NYSE
CF,CF Industries,S&P 500,NYSE
CRL,Charles River Laboratories,S&P 500,NYSE
SCHW,Charles Schwab Corporation,S&P 500,NYSE
CHTR,Charter Communications,S&P 500,NYSE
CVX,Chevron Corporation,S&P 500,NYSE
CMG,Chipotle Mexican Grill,S&P 500,NYSE
CB,Chubb Limited,S&P 500,NYSE
CHD,Church & Dwight,S&P 500,NYSE
CIEN,Ciena,S&P 500,NYSE
CI,Cigna,S&P 500,NYSE
CINF,Cincinnati Financial,S&P 500,NYSE
CTAS,Cintas,S&P 500,NYSE
CSCO,Cisco,S&P 500,NYSE
C,Citigroup,S&P 500,NYSE
CFG,Citizens Financial Group,S&P 500,NYSE
CLX,Clorox,S&P 500,NYSE
CME,CME Group,S&P 500,NYSE
CMS,CMS Energy,S&P 500,NYSE
KO,Coca-Cola Company (The),S&P 500,NYSE
CTSH,Cognizant,S&P 500,NYSE
COHR,Coherent Corp.,S&P 500,NYSE
COIN,Coinbase,S&P 500,NYSE
CL,Colgate-Palmolive,S&P 500,NYSE
CMCSA,Comcast,S&P 500,NYSE
FIX,Comfort Systems USA,S&P 500,NYSE
CAG,Conagra Brands,S&P 500,NYSE
COP,ConocoPhillips,S&P 500,NYSE
ED,Consolidated Edison,S&P 500,NYSE
STZ,Constellation Brands,S&P 500,NYSE
CEG,Constellation Energy,S&P 500,NYSE
COO,Cooper Companies (The),S&P 500,NYSE
CPRT,Copart,S&P 500,NYSE
GLW,Corning Inc.,S&P 500,NYSE
CPAY,Corpay,S&P 500,NYSE
CTVA,Corteva,S&P 500,NYSE
CSGP,CoStar Group,S&P 500,NYSE
COST,Costco,S&P 500,NYSE
CRH,CRH plc,S&P 500,NYSE
CRWD,CrowdStrike,S&P 500,NYSE
CCI,Crown Castle,S&P 500,NYSE
CSX,CSX Corporation,S&P 500,NYSE
CMI,Cummins,S&P 500,NYSE
CVS,CVS Health,S&P 500,NYSE
DHR,Danaher Corporation,S&P 500,NYSE
DRI,Darden Restaurants,S&P 500,NYSE
DDOG,Datadog,S&P 500,NYSE
DVA,DaVita,S&P 500,NYSE
DECK,Deckers Brands,S&P 500,NYSE
DE,Deere & Company,S&P 500,NYSE
DELL,Dell Technologies,S&P 500,NYSE
DAL,Delta Air Lines,S&P 500,NYSE
DVN,Devon Energy,S&P 500,NYSE
DXCM,Dexcom,S&P 500,NYSE
FANG,Diamondback Energy,S&P 500,NYSE
DLR,Digital Realty,S&P 500,NYSE
DG,Dollar General,S&P 500,NYSE
DLTR,Dollar Tree,S&P 500,NYSE
D,Dominion Energy,S&P 500,NYSE
DPZ,Domino's,S&P 500,NYSE
DASH,DoorDash,S&P 500,NYSE
DOV,Dover Corporation,S&P 500,NYSE
DOW,Dow Inc.,S&P 500,NYSE
DHI,D. R. Horton,S&P 500,NYSE
DTE,DTE Energy,S&P 500,NYSE
DUK,Duke Energy,S&P 500,NYSE
DD,DuPont,S&P 500,NYSE
ETN,Eaton Corporation,S&P 500,NYSE
EBAY,eBay Inc.,S&P 500,NYSE
SATS,EchoStar,S&P 500,NYSE
ECL,Ecolab,S&P 500,NYSE
EIX,Edison International,S&P 500,NYSE
EW,Edwards Lifesciences,S&P 500,NYSE
EA,Electronic Arts,S&P 500,NYSE
ELV,Elevance Health,S&P 500,NYSE
EME,Emcor,S&P 500,NYSE
EMR,Emerson Electric,S&P 500,NYSE
ETR,Entergy,S&P 500,NYSE
EOG,EOG Resources,S&P 500,NYSE
EPAM,EPAM Systems,S&P 500,NYSE
EQT,EQT Corporation,S&P 500,NYSE
EFX,Equifax,S&P 500,NYSE
EQIX,Equinix,S&P 500,NYSE
EQR,Equity Residential,S&P 500,NYSE
ERIE,Erie Indemnity,S&P 500,NYSE
ESS,Essex Property Trust,S&P 500,NYSE
EL,Estée Lauder Companies (The),S&P 500,NYSE
EG,Everest Group,S&P 500,NYSE
EVRG,Evergy,S&P 500,NYSE
ES,Eversource Energy,S&P 500,NYSE
EXC,Exelon,S&P 500,NYSE
EXE,Expand Energy,S&P 500,NYSE
EXPE,Expedia Group,S&P 500,NYSE
EXPD,Expeditors International,S&P 500,NYSE
EXR,Extra Space Storage,S&P 500,NYSE
